claimId,referenceNumber,supportQuote
CLM-015,10,"This is a prospective, randomized, double-blind, placebo-controlled, and multicenter trial. The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … This study protocol was registered on 14 March 2019. The registration number is ChiCTR1900021876 on the Chinese Clinical Trial Registry."
CLM-016,11,"There are seven TCM materials contained in the SBP: Artificial Moschus, Radix Ginseng (Root of Panax ginseng C.A.Mey.), Calculus Bovis Artifactus, Cortex Cinnamomi (Bark of Cinnamomum cassia Presl), Styrax (balsam of Liquidambar orientalis Mill.), Venenum Bufonis, and Borneolum Syntheticum (Resin of Dryobalanops aromatica C.F.Gaertn)"
CLM-017,12,"The ST-segment resolution (STR) in the PPCI + SBP group was significantly higher than that in the PPCI group ( p = 0.036), and the peak value of high-sensitivity troponin T (hsTNT) was lower than that in the PPCI group ( p = 0.048). FIS in the PPCI + SBP group was smaller than that in the PPCI group ( p = 0.047). MS ( p = 0.023) and SI ( p = 0.006) in the PPCI + SBP group were larger than those in the PPCI group."
CLM-018,12,"The PPCI + SBP group was given two pills of SBP (Shanghai Hutchison Pharmaceuticals, 22.5 mg/pill) immediately after admission as soon as possible, and then two pills each time, three times a day, during 1 month."
CLM-019,13,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%)."
CLM-020,13,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-021,20,"Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-022,20,"It's important to get medical advice to make sure it's nothing serious."
CLM-023,10,"During the treatment period, eligible patients will be given SJP or placebo pills and they will have to take 5 pills of the study medication three times daily. SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). … Each pill weighs 40 mg."
CLM-030,9,"This study was designed as a multicenter, randomized, double-blind, placebo-controlled study based on standard anti-anginal therapy and parallel groups. … A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses."
