claimId,referenceNumber,claimType,sourceTitle,artifactPath,supportQuote
CLM-019,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … However, only 174 patients were included in the mITT analyses due to the fact that two subjects had taken SJPs or placebos less than once. … Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement"
CLM-020,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … However, only 174 patients were included in the mITT analyses due to the fact that two subjects had taken SJPs or placebos less than once. … No participants reported experiencing adverse effects."
CLM-022,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid…, and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol…"
CLM-023,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … Antianginal therapies were commonly prescribed aspirin (73.6%), statin (71.3%), and β-Blockers (54.0%)."
CLM-025,4,synthesized,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,"Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-027,4,direct,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,"Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks. … The secondary outcomes are angina classification (CCS), improvement of traditional Chinese medicine (TCM) syndromes, Seattle Angina Scale score, the dosage of emergency drugs and the stopping rate, and electrocardiogram (EKG) efficacy."
CLM-026,4,direct,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).…in addition to conventional treatment for 24 weeks.…The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE).
CLM-029,13,direct,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,"Call 999 if: - you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-031,3,direct,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"In a recent randomized clinical trial, it was reported that SJPs demonstrated improvements in physical limitations, angina stability, and treatment satisfaction after 24 weeks of intervention [ 9 ]. … Interestingly, the aforementioned trial found that after 4 weeks of intervention, the SJPs did not demonstrate superior anti-angina efficacy compared to the placebo [ 9 ]."
CLM-032,1,synthesized,Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials,.evimed-sources/PMC5892298/fulltext.md,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The remaining 41 studies were included in our meta-analysis."
CLM-033,2,synthesized,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: a systematic review and network meta-analysis of 179 trials,.evimed-sources/PMC9428755/fulltext.md,"In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%."
