source_id,row_type,dimension_or_role,jurisdiction,product_version,findings,limitations,evidence_access,retrieved_at
SRC-GDL-04,source,指南/共识正文（推荐文本与自报证据分级）,中国,中华医学会内分泌学分会,推荐二甲双胍作为超重/肥胖PCOS患者的一线治疗药物，尤其是伴有IR/糖耐量异常/糖尿病的患者，最佳有效治疗剂量1000~2500mg/d。主要不良反应为胃肠道反应，可通过小剂量起始或者使用肠溶或缓释剂型以减少不良反应。 | （2）育龄期：伴有代谢指标异常（IR、血糖异常）的超重/肥胖PCOS患者可首选二甲双胍治疗……对于存在COCP禁忌、不接受或不耐受的超重/肥胖PCOS患者，二甲双胍可被用于调整月经周期；对高代谢风险人群，包括BMI>30kg/m²、糖尿病、糖耐量受损和高危人群，给予COCP联合二甲双胍治疗可能更有益。,,full_text,2026-09-09T06:09:33.415877Z
SRC-GDL-05,source,指南/共识正文（推荐文本与自报证据分级）,国际（2023 年国际循证 PCOS 指南更新；中文译本由国内生殖医学中心翻译整理）,国际 PCOS 循证指南（基于 2018 版更新；原指南开发遵循 GRADE 流程）,联合口服避孕药是治疗月经不调和高雄激素血症的一线药……二甲双胍主要用于代谢异常患者，其疗效高于肌醇，后者对PCOS的临床作用有限。二甲双胍不常规推荐用于患有PCOS的孕妇。 | 注：……示非适应证用药，由于制药公司尚未申请批准用于PCOS，来曲唑、二甲双胍和其他药物治疗对于PCOS通常是非适应证用药。即便如此，这些非适应证用药大多有循证依据，并且在许多国家都被允许使用，在允许非适应证用药的前提下，医疗专业人员应充分告知并与患者讨论药物治疗的依据、可能的疑虑和相关不良反应。,,full_text,2026-09-09T06:09:33.405772Z
SRC-GDL-06,source,指南/共识正文（推荐文本与自报证据分级）,中国,中国医师协会内分泌代谢科医师分会,育龄期（合并IGR）：……非肥胖患者推荐1000～1500mg/d，肥胖患者推荐2000～2500mg/d，餐时或餐后立即服用，疗程至少3到6个月。若胰岛素抵抗或糖调节异常明显改善，备孕患者建议使用至确诊妊娠，无妊娠计划患者可使用至糖调节异常恢复；若治疗3～6个月没有效果，建议调整治疗方案…… | 合并重度肥胖、糖脂代谢紊乱的患者，建议联合二甲双胍或胰岛素增敏剂治疗（针对短效口服避孕药调整周期的段落）。,,full_text,2026-09-09T06:09:33.395425Z
SRC-GDL-07,source,指南/共识正文（推荐文本与自报证据分级）,国际（2018 International Evidence-based Guideline，中文译文 2019）,国际 PCOS 循证指南 2018（NHMRC 资助、ESHRE/ASRM 等 37 个协会组织参与，AGREE II 流程 + GRADE 分级）,联合口服避孕药(COCP)是月经不调和雄激素过多症的一线治疗药物，未推荐特定配方，优选低剂量制剂。建议补充或单独使用二甲双胍，主要用于治疗代谢异常。来曲唑是治疗不孕症的一线药物：克罗米芬和二甲双胍均具有单独和联合的作用。,,full_text,2026-09-09T06:09:33.419009Z
SRC-GDL-08,source,指南/共识正文（推荐文本与自报证据分级）,英国（RCOG）,PCOS 远期健康影响管理,metformin has been shown to have beneficial short-term effects on insulin resistance and other cardiovascular risk markers in women with PCOS without type II diabetes. There is evidence that metformin may modestly reduce androgen levels by  | It must be emphasised that both metformin and the thiazolidinediones are unlicensed for use in PCOS and women should be counselled before initiating therapy so that they can make an informed choice.,,full_text,2026-09-09T06:09:33.390206Z
SRC-GDL-09,source,指南/共识正文（推荐文本与自报证据分级）,中国,中国中西医结合学会妇产科专业委员会,（3）代谢调整：对于超重、肥胖或存在IR的PCOS患者，可酌情服用二甲双胍；若二甲双胍疗效不佳，或IR较严重，可在二甲双胍的基础上联合应用噻唑烷二酮类药物…… | 二甲双胍可单独或联合克罗米芬诱导排卵（尤其在伴有肥胖或克罗米芬抵抗时)，以提高排卵率和妊娠率（1B）。,,full_text,2026-09-09T06:09:33.393543Z
SRC-GDL-10,source,指南/共识正文（推荐文本与自报证据分级）,澳大利亚,PCOS 评估与处理（38 条 A–D 级循证推荐）,"Evidence-based recommendation - Grade B: Metformin could be used alone to improve ovulation rate and pregnancy rate in women with PCOS who are anovulatory, have a BMI ≥ 30 kg/m2 (obese), and are infertile with no other infertility factors. | Evidence-based recommendation - Grade A: Metformin should be combined with clomiphene citrate to improve fertility outcomes rather than persisting with further treatment with clomiphene citrate alone in women with PCOS who are clomiphene ci | note: 工件文本含 OCR 噪声（如 BMI 30kg/m2 表述），引用时保留原意。",工件文本含 OCR 噪声（如 BMI 30kg/m2 表述），引用时保留原意。,full_text,2026-09-09T06:09:33.419009Z（工件）
SRC-GDL-11,source,指南/共识正文（推荐文本与自报证据分级）,中国（对 2013 ENDO 指南的解读文献）,ENDO 2013 PCOS 指南（Legro 等，GRADE 分级）中文解读,本指南对于二甲双胍的定位是辅助用药，用于预防PCOS患者在接受体外受孕治疗中卵巢过度刺激综合征（OHSS)的发生。对于合并IGT或代谢综合征且单纯生活方式调整无效的PCOS患者，建议加用二甲双胍。 | 二甲双胍不仅有利于控制血糖，还能增加机体组织对胰岛素的敏感性，改善血管炎症、脂质代谢等动脉粥样硬化危险因素，并对子宫内膜功能、高雄激素血症、月经周期及排卵功能均有改善作用。 | note: 解读性二次文献，非指南原文；引用作为对 ENDO 2013 定位的转述。,解读性二次文献，非指南原文；引用作为对 ENDO 2013 定位的转述。,full_text,2026-09-09T06:09:33.414239Z
SRC-LIT-01,source,期刊文献（RCT/系统综述/队列/病例）,国际,13 项 RCT、543 例 PCOS 女性,"Meta-analysis showed that metformin is effective in achieving ovulation in women with polycystic ovary syndrome, with odds ratios of 3.88 (95% confidence interval 2.25 to 6.69) for metformin compared with placebo and 4.41 (2.37 to 8.22) for | Metformin has an effect in reducing fasting insulin concentrations, blood pressure, and low density lipoprotein cholesterol. We found no evidence of any effect on body mass index or waist:hip ratio. Metformin was associated with a higher in",,abstract,2026-09-09T06:08:57.763459Z
SRC-LIT-02,source,期刊文献（RCT/系统综述/队列/病例）,国际,17 项 RCT、1639 例 PCOS 女性,Metformin improved the odds of ovulation in women with polycystic ovary syndrome when compared with placebo (odds ratio [OR] 2.94; 95% confidence interval [CI] 1.43-6.02; number-needed-to-treat 4.0)... | These treatment effects were greater for trials with shorter follow-up.,,abstract,2026-09-09T06:08:57.763468Z
SRC-LIT-03,source,期刊文献（RCT/系统综述/队列/病例）,国际,12 项 RCT，超重 PCOS 女性,"...significant differences in the changes in body mass index (BMI) (WMD = -1.25, 95% CI (-1.60, -0.91), p < 0.00001) and waist circumference (WC) (WMD = -1.41, 95% CI (-2.46, -0.37), p=0.008) after metformin. | ...metformin did not regulate the secretion indexes of fasting insulin, homeostasis model assessment of insulin resistance, sex hormone-binding globulin, high-density lipoprotein cholesterol, total cholesterol, triglycerides, fasting blood ",,abstract,2026-09-09T06:08:57.763512Z
SRC-LIT-04,source,期刊文献（RCT/系统综述/队列/病例）,国际,生活方式干预 vs 二甲双胍（含联用）的系统综述与 Meta 分析,...there was no significant difference in the improvements in the menstrual cycles between LSM and metformin alone (weighted mean difference [MD] = 1.62) and between LSM + metformin and LSM (MD = 1.20). | LSM reduced insulin resistance (MD = -0.52) and increased serum levels of sex hormone-binding globulins (MD = 8.27) compared with metformin.,,abstract,2026-09-09T06:08:57.763563Z
SRC-LIT-05,source,期刊文献（RCT/系统综述/队列/病例）,国际,9 项研究：运动±二甲双胍,"The meta-analysis reveals that metformin offers additive benefits to exercise, leading to modest improvements in menstrual cycles, hyperandrogenism, and abdominal fat.",,abstract,2026-09-09T06:08:57.763571Z
SRC-LIT-06,source,期刊文献（RCT/系统综述/队列/病例）,国际,生活方式+二甲双胍 vs 生活方式 ± 安慰剂（6 个月终点）,"...metformin combined with lifestyle modifications leads to lower BMI and subcutaneous adipose tissue, as well as improved menstruation, in women with PCOS compared to lifestyle modifications alone. Metformin alone compared with lifestyle s",,abstract,2026-09-09T06:08:57.763534Z
SRC-LIT-07,source,期刊文献（RCT/系统综述/队列/病例）,国际,36 项 RCT（二甲双胍 vs COCP vs 联合）,"Metformin lowered insulin (-27.12 pmol/l, 95%CI -40.65; -13.59) and triglycerides (-0.15 mmol/l, 95%CI -0.29; -0.01) compared with COCP. | Metformin was inferior on free androgen index (FAI), sex hormone binding globulin (SHBG) and testosterone compared with COCP.",,abstract,2026-09-09T06:08:57.763541Z
SRC-LIT-08,source,期刊文献（RCT/系统综述/队列/病例）,国际,56 例 18–45 岁 PCOS；二甲双胍 850 mg bid vs 安慰剂，各 6 个月交叉,"There were no changes in menstrual frequency. | In the intention-to-treat analysis, weight and systolic BP were reduced on metformin treatment (p=0.009 and 0.047, respectively), while high-density lipoprotein (HDL) increased (p=0.001).",,abstract,2026-09-09T06:09:41.726156Z
SRC-LIT-09,source,期刊文献（RCT/系统综述/队列/病例）,国际,30 例肥胖非糖尿病 PCOS；二甲双胍 500 mg tid vs 安慰剂 90 天,"After 90 days of metformin use, PCOS women presented significantly lower levels of total testosterone (p = 0.030) and total cholesterol (p = 0.023) compared to the women that used placebo. | obese women with PCOS may benefit from the use of metformin through the reduction of hyperandrogenemia, total cholesterol, and possibly by restoration of regular menstrual cycles.",,abstract,2026-09-09T06:09:41.726165Z
SRC-LIT-10,source,期刊文献（RCT/系统综述/队列/病例）,国际（中国香港人群）,20 例 <40 岁 CC 抵抗 PCO 华人女性；二甲双胍 500 mg tid × 3 个月,"There was no improvement in the ovulation rate despite a significant reduction of body mass index, serum testosterone and fasting leptin concentrations in the metformin group. | The median ovulation rate in the placebo group was 0% (range: 0--50%) after placebo only ... whereas the corresponding rates in the metformin group were 0% (range: 0--22%) ...",,abstract,2026-09-09T06:09:01.279521Z
SRC-LIT-11,source,期刊文献（RCT/系统综述/队列/病例）,国际,25 例 CC 抵抗 PCOS；二甲双胍 500 mg tid + CC 方案,Ovulation rate was significantly higher in the rosiglitazone and CC group (18 out of 28 cycles [64.3%]) than the metformin and CC group (12 out of 33 cycles [36.4%]) (P=.035).,,abstract,2026-09-09T06:09:01.279480Z
SRC-LIT-12,source,期刊文献（RCT/系统综述/队列/病例）,国际,108 例 22–35 岁胰岛素抵抗超重/肥胖 PCOS；二甲双胍 1500 mg/d（500 mg×3）首 6 个月，HOMA 未正常化者增至 2500 mg/d 再用 6 个月（前瞻非随机队列）,"All patients received 1500 mg of metformin (500 mg x 3 times/day) for the first 6 months. | Overall results showed a good response to metformin therapy in insulin-resistant PCOS patients with BMI >25, while in patients with higher BMI (31.15 ± 0.40), no normalization of HOMA was found.",,abstract,2026-09-09T06:09:01.279584Z
SRC-LIT-13,source,期刊文献（RCT/系统综述/队列/病例）,英国（CPRD 数据库）,"77,601 例二甲双胍治疗的 2 型糖尿病患者","There were 35 LA events (10.37 [95% CI 7.22-14.42] per 100,000 patient-years) of which none were fatal and 23 were linked to a comorbidity. | No significant difference in the incidence of LA was observed across N, Mi, Mo and Se renal function groups. | note: 人群为 2 型糖尿病——间接人群（非糖尿病 PCOS 无直接发生率数据）。",人群为 2 型糖尿病——间接人群（非糖尿病 PCOS 无直接发生率数据）。,abstract,2026-09-09T06:13:28.421283Z
SRC-LIT-14,source,期刊文献（RCT/系统综述/队列/病例）,美国（行政索赔数据库）,"132,780 例新诊断 2 型糖尿病（二甲双胍单药 24,936 例）","Acidosis was observed in 1.45 per 10,000 patient months (0.78 metformin, 1.59 other antihyperglycemic medication, 1.51 no medication). | There was no significant difference in risk of acidosis between exposure groups, irrespective of risk factors for lactic acidosis.",,abstract,2026-09-09T06:13:28.421298Z
SRC-LIT-15,source,期刊文献（RCT/系统综述/队列/病例）,国际,94 例 PCOS（绿茶 33/二甲双胍 29/对照 32），3 个月,"Following the intervention, the mean menstrual cycle duration in the green tea, metformin, and control groups was 32.22 ± 12.78, 48.72 ± 37.06, and 48.53 ± 31.04 days, respectively (P = 0.040). | note: 该试验为三组随机对照但无盲法描述；二甲双胍组 3 个月后周期长度未显著短于对照。",该试验为三组随机对照但无盲法描述；二甲双胍组 3 个月后周期长度未显著短于对照。,abstract,2026-09-09T06:09:41.726129Z
SRC-LIT-16,source,期刊文献（RCT/系统综述/队列/病例）,国际,20 例青春期（≤17 岁）PCOS，二甲双胍 2550 mg/d+饮食，1 年（病例系列）,"The percentage of cycles with normal menses rose from a pre-treatment median of 8% to 100%, p < 0.0001. | note: 未成年人群，间接证据。",未成年人群，间接证据。,abstract,2026-09-09T06:09:41.726214Z
SRC-LIT-17,source,期刊文献（RCT/系统综述/队列/病例）,国际,4 例老年 2 型糖尿病住院患者二甲双胍相关乳酸酸中毒个案系列,"A rare, but important complication associated with this drug is the development of lactic acidosis: Overall mortality of lactic acidosis is approximately 50%. | Certain subsets of patients taking metformin are at greater risk of developing lactic acidosis. | note: 老年糖尿病住院人群；乳酸酸中毒总死亡率约 50% 为该文献对已发酸中毒病例的转述，非本拟用人群发生率。",老年糖尿病住院人群；乳酸酸中毒总死亡率约 50% 为该文献对已发酸中毒病例的转述，非本拟用人群发生率。,abstract,2026-09-09T06:13:28.421287Z
SRC-CHEM-01,source,化学标识记录（术语归一化锚点）,国际（化学结构库）,盐酸二甲双胍化学标识,,,full_text,2026-09-09T06:10:51.196032Z
