claimId,referenceNumber,supportQuote,referenceNumbers,accessLevel
CLM-016,16,"Do not self-diagnose – see a GP if you're worried. …An often sharp, continuous pain triggered by worries or a stressful situation, heartbeat gets faster, sweating, dizziness",[16],official_page
CLM-017,12,"Forty-one trials involving 6276 patients were included in our analysis…The remaining 41 studies were included in our meta-analysis…Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001)…However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%)…The most common symptoms were mild headache, dizziness, and facial flushing…There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",[12],full_text
CLM-018,10,"Trial registration: ChiCTR, ChiCTR1800014258. Registered on 13 March 2019 at chictr.org.cn…coronary angiography or computed tomography coronary angiography confirmation of stenosis greater than 50%; and ③ noninvasive imaging stress test diagnostic of coronary artery disease (CAD)…Patients will be considered to be diagnosed with CHD if they meet at least one of these criteria…SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]","[10, 11, 12]",full_text
CLM-019,16,"Call 999 if: …you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion…you have chest pain and you feel sweaty, sick, light headed or short of breath You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",[16],official_page
CLM-020,15,"Sixty-five percent ( n =28) of women described intermittent symptoms that were not taken seriously. …Beyond failing to recognize their symptoms as ischemic, they over relied on self-treatment in an extended process of assigning various noncardiac causes to their symptoms.",[15],full_text
CLM-021,8,"A total of 20 005 consecutive patients from the Feedback Intervention and Treatment Times in ST-segment Elevation Myocardial Infarction (FITT-STEMI) programme treated with primary percutaneous coronary intervention (PCI) were included…Mortality was 10.0% in patients presenting within 1 hour, and 4.9%, 6.0% and 7.3% in patient groups with longer S2C intervals of 1–2 hours, 2–6 hours and 6–24 hours, respectively…Patients with a short S2C interval of less than 1 hour (S2C<60 min) had the highest survival benefit from timely reperfusion with PCI within 90 min (OR 0.27, 95% CI 0.23 to 0.31, p<0.0001)",[8],full_text
CLM-022,3,"No significant differences in peak CK levels were observed among the 4 time period groups (P=0.117)…There were no significant differences among the 4 time period groups in secondary endpoints of in-hospital mortality (P=0.788)…Circadian variation had no effect on infarct size or clinical outcomes in patients with STEMI.…Finally, 2,251 patients with STEMI were included in this analysis","[3, 7]",full_text
CLM-023,8,Patients will be considered to be diagnosed with CHD if they meet at least one of these criteria,"[8, 10, 12, 15]",full_text
CLM-024,9,"The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%). The positive likelihood ratio for having coronary artery dis - ease if nitroglycerin relieved chest pain was 1.1 (0.96–1.34). Telephone follow-up at 4 weeks was performed, with a 95% follow-up rate. …A total of 278 patients were enrolled. Eight subjects were excluded after initial entry into the study, leaving 270 sub- jects studied (Fig. 1).",[9],full_text
CLM-025,9,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.,[9],full_text
