claimId,referenceNumber,supportQuote,sourceTitle,identifier,claimType
CLM-011,5,"elobixibat (10 mg/day) was administered for 12 weeks to 18 HF patients with chronic constipation … The point estimates of the mean change in degree of straining during defecation (median of each evaluation interval) from baseline (3.11±0.85) were −0.53 (95% CI, −0.88 to −0.18) at Week 4, −0.57 (95% CI, −0.99 to −0.15) at Week 8, and −0.79 (95% CI, −1.40 to −0.17) at Week 12, showing significant decreases at all time points … The changes in BP by ABPM before and after defecation from baseline to Week 12 were as follows: systolic blood pressure, −10.50 mmHg; diastolic blood pressure, −11.93 mmHg; and mean blood pressure, −11.43 mmHg. Although these were not significant, the difference in BP before and after defecation tended to decrease by approximately 10 mmHg for all variables (systolic blood pressure, diastolic blood pressure, and mean blood pressure) at Week 12 from baseline … First, because the sample size was small, statistical power was not sufficient. Second, the study had an open-label, single-arm design","Open-label, single-center, single-arm study evaluating the efficacy and safety of elobixibat for chronic constipation in patients with heart failure (Circ Rep 2024)",PMID:38464992,direct
CLM-012,5,"Straining during defecation can elevate BP and increase the risk of cardiovascular events 1 by increasing the afterload, leading to pulmonary edema.","Open-label, single-center, single-arm study evaluating the efficacy and safety of elobixibat for chronic constipation in patients with heart failure (Circ Rep 2024)",PMID:38464992,direct
CLM-013,6,"Forty-one trials involving 6276 patients were included in our analysis…The 41 studies consisted of 6276 patients with coronary heart disease…All of the included studies were conducted in China…Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)…nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, and P < 0.001)…There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)…The majority of the included studies received low Jadad scores due to the lack of a double-blind design",Efficacy of Suxiao Jiuxin Pill on coronary heart disease: a meta-analysis of randomized controlled trials (Evid Based Complement Alternat Med 2018),PMID:29770157,direct
CLM-014,7,"The diagnostic criteria for CHD will be ① history of myocardial infarction (MI); ② coronary angiography or computed tomography coronary angiography confirmation of stenosis greater than 50%; and ③ noninvasive imaging stress test diagnostic of coronary artery disease (CAD) (e.g., positive treadmill exercise test (male only), nuclear perfusion scan). Patients will be considered to be diagnosed with CHD if they meet at least one of these criteria…Trial registration: ChiCTR, ChiCTR1800014258. Registered on 13 March 2019 at chictr.org.cn…The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome)",Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol… (Trials 2021),PMID:34281600,direct
CLM-015,9,"Because 80% of both women and men with ACS present with chest pain or pressure, this symptom is detailed in the guidelines…the initial ACS assessment includes the electrocardiogram, physical examination, clinical history, vital signs, and high‐sensitivity troponin trends…Patients with STEMI require immediate angiography and percutaneous coronary intervention (PCI) as appropriate (or thrombolysis if timely PCI is not feasible), as do the NSTE‐ACS patients with very high‐risk features. For NSTE‐ACS without very high‐risk features, angiography should be considered within the initial 24 h",What US cardiology can learn from the 2023 ESC guidelines for the management of acute coronary syndromes (Clin Cardiol 2024),PMID:39129714,direct
CLM-016,9,These include patient self‐presentation delay or emergency medical system (EMS) delay and systems of care delay within the receiving medical center … all adding to the total ischemic time … will involve patient education for prompt presentation,What US cardiology can learn from the 2023 ESC guidelines for the management of acute coronary syndromes (Clin Cardiol 2024),PMID:39129714,direct
CLM-017,12,"Assessment of ACS involves ECG evaluation, clinical history and physical examination, and troponin testing…In the absence of ischaemic ECG findings, CDPs incorporating hs‐cTn rather than contemporary troponin assays are recommended for safe, rapid risk stratification and decision‐making…People stratified as high risk of major adverse cardiovascular events (MACE) using hs‐cTn‐based CDPs should be admitted for further evaluation",National Heart Foundation of Australia and Cardiac Society of Australia and New Zealand: Australian clinical guideline for diagnosing and managing acute coronary syndromes 2025 (Med J Aust 2026),PMID:41693087,direct
CLM-018,12,"Timely reperfusion limits the extent of myocardial infarction and reduces mortality by minimising total ischaemic time…For people with STEMI/ACOMI presenting to primary PCI‐capable centres, first medical contact to wire crossing time should not exceed 60 min…For people presenting to non‐PCI‐capable centres, first medical contact to wire crossing time should not exceed 90 min",National Heart Foundation of Australia and Cardiac Society of Australia and New Zealand: Australian clinical guideline for diagnosing and managing acute coronary syndromes 2025 (Med J Aust 2026),PMID:41693087,direct
CLM-019,8,"## Immediate action required: Call 999 if:
- you get sudden pain or discomfort in your chest that does not go away - the pain can feel like squeezing or pressure inside your chest, burning or indigestion
- you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back
- you have chest pain and you feel sweaty, sick, light headed or short of breath
You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.","Chest pain (NHS, official patient page)",https://www.nhs.uk/symptoms/chest-pain/,direct
CLM-020,1,"Constipation was also associated with arterial events, including myocardial infarction (1.24, 95% CI 1.14 to 1.35), ischaemic stroke (1.50, 95% CI 1.41 to 1.60), haemorrhagic stroke (1.46, 95% CI 1.26 to 1.69)",Danish population-based matched cohort study (BMJ Open 2020),.evimed-sources/PMC7473662/fulltext.md,synthesized
CLM-021,4,"Methodological limitations, including small sample sizes and inadequate control of confounders, preclude definitive conclusions. … Edgar et al.’s study reported that using a footstool reduced defecation time, averaging 55.5 seconds compared to 113.4 seconds in the seated position. Healthy participants reported a strain rating of 1.4 with the footstool versus 2.5 for the seated position",Scoping review of toilet postures (BMC Public Health 2025),.evimed-sources/PMC12219158/fulltext.md,synthesized
CLM-022,6,All of the included studies were conducted in China. …The 41 studies consisted of 6276 patients with coronary heart disease.,Meta-analysis of Suxiao Jiuxin Pill (Evid Based Complement Alternat Med 2018),.evimed-sources/PMC5892298/fulltext.md,synthesized
CLM-025,8,You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.,Chest pain (NHS official page),.evimed-sources/official-pages/e6143b76645a9461/page.md,synthesized
