claimId,referenceNumber,supportQuote,accessLevel,identifier,sourceTitle
CLM-017,2,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%).",full_text,PMID:29770157,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-018,2,The majority of the included studies received low Jadad scores due to the lack of a double-blind design,full_text,PMID:29770157,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-019,2,"Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",full_text,PMID:29770157,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-020,2,"In this study, we did not analyze cardiovascular death or drug-related complications.",full_text,PMID:29770157,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-021,22,"However, most of the outcome measures in the included SRs are angina pectoris and ECG. Primary endpoints such as mortality and major cardiovascular events are not used widely.",full_text,PMID:22606207,Outcome Measures of Chinese Herbal Medicine for Coronary Heart Disease: An Overview of Systematic Reviews
CLM-022,22,only a few of the trials in the SRs had long-term data on adverse effects.,full_text,PMID:22606207,Outcome Measures of Chinese Herbal Medicine for Coronary Heart Disease: An Overview of Systematic Reviews
CLM-023,28,you get sudden pain or discomfort in your chest that does not go away … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.,official_page,official-page:e6143b76645a9461,Chest pain - NHS
CLM-024,1,"most of the studies with organic nitrates in the setting of heart failure and CAD demonstrated improvement in symptoms, but mostly failed to demonstrate an improvement in prognosis.",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-028,1,"In 1888, the American physician, D.D. Stewart, made an important discovery. Following chronic treatment of a patient with GTN, he required a 20-fold higher dose of GTN compared with the initial dose to induce comparable antianginal effects",full_text,PMID:26261901,"Organic Nitrate Therapy, Nitrate Tolerance, and Nitrate-Induced Endothelial Dysfunction: Emphasis on Redox Biology and Oxidative Stress"
CLM-025,2,"In this study, we did not analyze cardiovascular death or drug-related complications.",full_text,fulltext.md,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
