claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote
CLM-011,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"Pain in the right arm or shoulder was suggestive of ACS in both selected (LR+=3.78, 95% CI [2.17–6.60]) and undifferentiated patients (LR+=3.80, 95% CI [1.12–12.91]). … The feature most closely associated with an alternative diagnosis was chest wall tenderness (LR+=0.17, 95% CI [0.11–0.28])."
CLM-012,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"Body and colleagues examined 804 patients who sought treatment in a university-affiliated ED … The features of the HPI and physical exam that were most associated with AMI were observed diaphoresis in the ED (LR+=6.39, 95% CI [4.38–9.33]), reported vomiting (LR+=3.09, 95% CI [1.89–5.05]), and pain radiation to both arms/shoulders (LR+=2.58, 95% CI [1.53–4.34])"
CLM-013,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,Chest pain accounts for approximately 6% of all emergency department (ED) visits
CLM-014,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"Adding in our patient’s normal ECG (LR+ = 0.2) does lower his risk, and our new post-test probability of disease is still 0.06. … most physicians would feel that a 6% probability of ACS is too high."
CLM-015,6,Performance of the 0-Hour/1-Hour Algorithm for Diagnosing Myocardial Infarction in Patients With Chest Pain in the Emergency Department — A Systematic Review and Meta-Analysis —,doi:10.1253/circrep.CR-22-0001 / PMID:35774074 / PMC9168511,full_text,"A meta-analysis of the diagnostic accuracy of the 0/1-h algorithm using hs-cTnI including 6 observational databases (n=7,235 patients in total) … showed a pooled sensitivity of 99.3% (95% CI 98.5–99.7%) and a specificity of 90.1% (95% CI 80.7–95.2%)."
CLM-016,6,Performance of the 0-Hour/1-Hour Algorithm for Diagnosing Myocardial Infarction in Patients With Chest Pain in the Emergency Department — A Systematic Review and Meta-Analysis —,doi:10.1253/circrep.CR-22-0001 / PMID:35774074 / PMC9168511,full_text,"including 10 observational databases (n=9,188 patients in total) … showed that the pooled sensitivity and specificity of the ESC 0/1-h algorithm using hs-cTnT were 99.3% (95% CI 96.9–99.9%) and 91.7% (95% CI 83.5–96.1%), respectively. When the prevalence was assumed to be 10% (assuming a maximum of false positives), the false positive rate was 75 per 1,000 patients (95% CI 35–148) and, when the prevalence was assumed to be 30% (assuming a maximum of false negatives), the false negative rate was 2 per 1,000 patients (95% CI 0–9"
CLM-017,7,A systematic review of the applicability of emergency department assessment of chest pain score-accelerated diagnostic protocol for risk stratification of patients with chest pain,doi:10.1002/clc.24126 / PMID:37594309 / PMC10642332,full_text,"Twelve studies comprising 14 290 patients were identified. … EDACS‐ADP showed a combined sensitivity of 0.97 (95% confidence interval [CI]: 0.95−0.99); specificity, 0.58 (0.53−0.63); positive DLR, 2.34 (2.08−2.63); negative DLR, 0.04 (0.02−0.09) … 7537 (52.74%) of the pooled patient group were classified as low risk, while 67 (0.89%) patients in the low‐risk group suffered from MACE within 30‐days"
CLM-018,7,A systematic review of the applicability of emergency department assessment of chest pain score-accelerated diagnostic protocol for risk stratification of patients with chest pain,doi:10.1002/clc.24126 / PMID:37594309 / PMC10642332,full_text,"A study has shown that a MACE incidence >1% among low‐risk patients was unacceptable to nearly half of the physicians, whereas an incidence >2% was unacceptable to most physicians."
CLM-019,9,"Improving chest pain risk assessment: validation of HEART, TIMI, GRACE, EDACS-ADP, and HET for MACE prediction in the emergency department",doi:10.1186/s12873-025-01327-4 / PMID:40847270 / PMC12374469,full_text,"A total of 274 patients were finally included. Among them 68 (24.8%) met the MACE at presentation or within 6 weeks. The HEART score demonstrated the highest AUC: 0.925 and sensitivity: 97.1%; NPV: 98.18% at cut-off ≤ 3 … TIMI also performed well in identifying very low-risk patients (AUC: 0.868; sensitivity: 98.5%, NPV: 98.17%, though with limited specificity (26.7%). GRACE and EDACS-ADP showed moderate predictive ability, with AUCs of 0.815 and 0.803, respectively."
CLM-020,8,Triage and Diagnostic Accuracy of Online Symptom Checkers: Systematic Review,doi:10.2196/43803 / PMID:37266983 / PMC10276326,full_text,"the diagnostic accuracy was deemed to be low overall and, on average, lower than that of general practitioners (GPs) when compared … all studies had at least 1 area with unclear risk of bias, and 6 (43%) of the 14 studies had a high risk of bias"
CLM-021,8,Triage and Diagnostic Accuracy of Online Symptom Checkers: Systematic Review,doi:10.2196/43803 / PMID:37266983 / PMC10276326,full_text,"Yu et al [ 27 ] found that Drugs.com and FamilyDoctor undertriaged 24% (95% CI 16%-34%) and 45% (95% CI 35%-55%) of the cases, respectively. Chan et al [ 25 ] estimated that compliance with the triage recommendations in their cohort could have reduced hospital visits by 55% but would also cause potential harm from delayed care in 2% to 3% of the cases."
CLM-022,8,Triage and Diagnostic Accuracy of Online Symptom Checkers: Systematic Review,doi:10.2196/43803 / PMID:37266983 / PMC10276326,full_text,"Of these 9 studies, 5 (56%) found that OSCs tend to overtriage (ie, be risk averse) … However, most of the studies (5/9, 56%) observed that undertriage did occur."
CLM-023,3,Chest pain - NHS,NHS Chest pain (page last reviewed 08 August 2023),official_page,"Common causes of chest pain … Heartburn or indigestion … Chest sprain or strain … Anxiety , depression or panic attack … Chest infection, pneumonia or pleurisy … Shingles … pericarditis – which usually causes a sudden, sharp, stabbing pain that gets worse when you breathe deeply or lie down … angina or a heart attack – which have similar symptoms but a heart attack is life-threatening"
