claimId,referenceNumber,sourceTitle,accessLevel,sourceUrl,supportQuote
CLM-011,7,Estrogen Contributions to Microvascular Dysfunction Evolving to Heart Failure With Preserved Ejection Fraction,full_text,https://europepmc.org/articles/PMC6616854,we hypothesize that the drop of estrogen levels after menopause contributes to myocardial microvascular dysfunction and renders post-menopausal women more vulnerable for heart diseases that involve the microvasculature … 17β-estradiol (E2) can positively regulate eNOS activity and thereby NO production by binding to the estrogen receptors (ER)-α and -β that are both present in endothelial cells
CLM-012,8,Presenting Symptoms in Men and Women Diagnosed With Myocardial Infarction Using Sex‐Specific Criteria,full_text,https://europepmc.org/articles/PMC6755854,"Typical symptoms were more common in women than in men with myocardial infarction (77% [69/90] versus 59% [109/184]; P =0.007) … The presence of ≥3 typical features was associated with a positive likelihood ratio for the diagnosis of myocardial infarction in women (positive likelihood ratio, 1.18; 95% CI, 1.03–1.31) but not in men"
CLM-013,8,Presenting Symptoms in Men and Women Diagnosed With Myocardial Infarction Using Sex‐Specific Criteria,full_text,https://europepmc.org/articles/PMC6755854,"Chest pain was the presenting symptom in 91% (1081/1185) of men and 92% (698/756) of women. … Women, compared with men, more often reported palpitations as a presenting symptom (11% versus 7%…) … more likely to report associated nausea (34% versus 22%…) … increased the number of patients diagnosed with type 1 myocardial infarction by 30% (27/90) in women and 4.9% (9/184) in men"
CLM-014,9,Clinical aspects of ischemia with no obstructive coronary artery disease (INOCA),full_text,https://europepmc.org/articles/PMC10785769,Patients with acute myocardial infarction (AMI) found to have no obstructive CAD (MINOCA) make up 14 % of all AMIs and are also more common in women … INOCA is diagnosed more frequently in women (50–70 %) than in men (30–50 %) among those undergoing angiography for stable angina
CLM-015,10,Reappraising Ischemic Heart Disease in Women,full_text,https://europepmc.org/articles/PMC11273011,"Women are less likely to have investigations performed for chest pain and, accordingly, are at risk of underdiagnosis, undertreatment, and poorer prognosis … Approximately three-quarters of patients with INOCA are women"
CLM-016,10,Reappraising Ischemic Heart Disease in Women,full_text,https://europepmc.org/articles/PMC11273011,"Two large randomized controlled trials, the Women’s Health Initiative (WHI) and the Heart and Estrogen/progestin Replacement Study (HERS), showed no evidence of benefit for primary or secondary prevention with menopause hormone therapy … If commenced within the optimal timing window ( < 60 years of age or within 10 years since the last menstrual period), menopause hormone therapy can reduce cardiovascular morbidity and mortality, although it is contraindicated for the sole purpose of prevention in women at high risk of cardiovascular disease"
CLM-017,11,Chest pain - NHS,official_page,https://www.nhs.uk/symptoms/chest-pain/,"Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-018,2,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text,https://europepmc.org/articles/PMC8287819,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … Age 18 to 80 years
CLM-018,2,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,full_text,https://europepmc.org/articles/PMC5892298,The mean age in the treatment group was 57.57 ± 8.15 years and 54.10% of the patients were male.
CLM-019,5,Association of Vasomotor and Other Menopausal Symptoms with Risk of Cardiovascular Disease: A Systematic Review and Meta-Analysis,full_text,https://europepmc.org/articles/PMC4912069,Further adjustment for established cardiovascular risk factors and potential mediators attenuated but did not abolish the associations of VMS (RR = 1.28; 95%CI = 1.08; 1.52)
CLM-019,5,A systematic review of heart rate variability and menopausal vasomotor symptoms,full_text,https://europepmc.org/articles/PMC13167700,Women with VMS and without VMS did not show differences in HRV.
CLM-019,5,Estrogen Contributions to Microvascular Dysfunction Evolving to Heart Failure With Preserved Ejection Fraction,full_text,https://europepmc.org/articles/PMC6616854,we hypothesize that the drop of estrogen levels after menopause contributes to myocardial microvascular dysfunction and renders post-menopausal women more vulnerable for heart diseases that involve the microvasculature
CLM-021,5,Association of Vasomotor and Other Menopausal Symptoms with Risk of Cardiovascular Disease: A Systematic Review and Meta-Analysis,full_text,https://europepmc.org/articles/PMC4912069,"213,976 women with a total of 10,037 cardiovascular disease outcomes … based on 10 distinct studies … 5.3 to 15 years"
