claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote
CLM-011,5,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",PMID:34770988,full_text,"142 coronary heart disease patients and showed that the amelioration of angina pectoris attacks within 5 min of GTN treatment was seen in 67.1% of patients who did not show flushing after drinking wine, compared to just 20.4% in flushing patients … an efficacious response to GTN in 5 min was seen in 57.5% of Glu504 patients compared to 11.1% in the alcohol intolerant, Lys504 patients"
CLM-012,5,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",PMID:34770988,full_text,"one of the more recent investigations conducted in Japan, in 2017, which concluded that Lys504 mutant subjects, when administered with GTN sublingually, showed no difference in terms of vasodilatory effects when compared to Glu504 wild type subjects … a Chinese study in 2015, also using sublingual GTN, involving 559 subjects, showed that cardiac output increased only in wild type subjects"
CLM-013,6,Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial,PMID:21540305,full_text,"The maximal artery diameter increase in response to GTN or ISDN did not differ among genotypes. However, GTN T max was significantly longer for *2/*2 (299.7 s, 269.0–330.4) than *1/*1 (254.7 s, 238.6–273.4; p=0.0190)."
CLM-014,6,Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial,PMID:21540305,full_text,"The frequency of the ALDH2 *2 allele is approximately 20% in the Japanese population, although regional differences may exist … The frequencies of each genotype are: *1/*1, 60% to 70%; *1/*2, 30% to 40%; and *2/*2, 3% to 5%."
CLM-015,6,Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial,PMID:21540305,full_text,"A sublingual 0.3 mg dose of GTN typically alleviates chest pain, but some patients require a larger dose or repeated administration."
CLM-016,9,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157,full_text,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001) … nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, and P < 0.001)"
CLM-017,9,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157,full_text,The majority of the included studies received low Jadad scores due to the lack of a double-blind design
CLM-018,9,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157,full_text,"The most common symptoms were mild headache, dizziness, and facial flushing … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-019,9,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157,full_text,"It has two main effective components, borneol and Ligusticum chuanxiong Hort"
CLM-020,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",,full_text,"one of the more recent investigations conducted in Japan, in 2017, which concluded that Lys504 mutant subjects, when administered with GTN sublingually, showed no difference in terms of vasodilatory effects when compared to Glu504 wild type subjects"
CLM-022,6,Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial,PMID:21540305,full_text,"receiving phosphodiesterase-5 inhibitors (sildenafil, vardenafil or tadalafil)"
