claimId,referenceNumber,supportQuote
CLM-011,7,"Atrial fibrillation is the most common persistent arrhythmia that affects 3% of people over 20 years of age, with greater prevalence in older persons ( 1 ). Atrial fibrillation is associated with increased mortality and morbidity, such as stroke or heart failure. Twenty–Thirty percentage of the strokes are caused by atrial fibrillation ( 2 ). The early detection of atrial fibrillation can significantly reduce the risk of stroke through preventive anticoagulation therapy ( 3 ). Undetected silent atrial fibrillation is common due to many people with missing symptoms ( 4 ). The diagnosis is often made after the first thromboembolic event ( 5 ). Because atrial fibrillation has a significant impact on the quality of life and is a major cause of health care expenditure, the introduction of screening programs has been considered ( 6 ). A study by Lowres et al. shows that a chronic form of atrial fibrillation was found in the course of screening programs in 2.3% of the in an average 64-year-old screening population. Previously undiagnosed atrial fibrillation was found in 1.4% of those over 65 years of age, while the majority of this group would benefit from anticoagulation to prevent stroke ( 7 ). Since paroxysmal atrial fibrillation is often overlooked by single measurements, there are concepts for long-term ECG monitoring that increase the sensitivity for the detection of short atrial fibrillation episodes ( 4 ). Holter-ECG and invasive heart monitoring significantly increase the detection rate for atrial fibrillation. Due to inconvenience, invasiveness or cost inefficiency, these screening methods are not applicable to everyone ( 8 ). Innovations in hardware and software development have opened new opportunities for cost-effective and convenient screening methods. A promising example is the screening for atrial fibrillation with smartwatches. These wearable devices could provide long-term, non-invasive, cost-effective and convenient ECG monitoring. The smartwatches are equipped with a photoplethysmography sensor that can record a tachogram with a built-in camera and an electrical sensor that can record a rhythm strip equivalent to a single lead ECG. The signals of the tachogram and the ECG-lead are analyzed and evaluated by an intelligent algorithm that can detect irregular heart rhythms, such as atrial fibrillation with high accuracy. The algorithm, based on photoplethysmography, detects irregular heart rhythms and notifies the users who have activated the function. To measure the electrocardiogram, the user must place his finger on the crown of the watch. The user is informed about the interpretation and the non-diagnostic nature of the results before the measurement. The algorithm has a sensitivity of >98% and a specificity of >99% to classify the results as sinus rhythm, atrial fibrillation, or not conclusive ( 9 ). In 2019 Perez et al. carried out the Apple heart study. Over 400.000 study participants were screened for atrial fibrillation using the Apple watch. The study showed that 84% of the notifications that the users received matched atrial fibrillation. Fifty seven percentage of the notified patients contacted healthcare providers outside of the study ( 10 ). Apple's algorithm for the detection of atrial fibrillation was the first one to be approved for the consumer market by the US Food and Drug Administration ( 11 ). Atrial fibrillation screening using smartwatches has not been included in the clinical guidelines but could become a reality soon."
CLM-012,7,"Screening for atrial fibrillation with smartwatches hypothesizes that early detection would prevent adverse events, such as stroke, by treating with anticoagulants ( 13 ). As with any screening program, screening for atrial fibrillation will harm a part of the screening population. False-positive notifications create stress and anxiety for the misdiagnosed person. Follow-up diagnostics, for example with implantable devices and possible treatment with anticoagulants, will decrease the quality of life and can lead to dangerous events, such as iatrogenic bleeding. Although the specificity of the algorithm used by the Apple smartwatch is very high, many people have still been notified of arrhythmia without having atrial fibrillation ( 10 ). It is also important to note that the prevalence of atrial fibrillation is higher in the older population. In the USA only 4,6% of smartwatch users are older than 65 years ( 14 ). This results in a higher number needed to screen and a smaller positive predictive value with a higher potential for unnecessary diagnostics and treatment ( 15 ). Studies show that nearly 1 million per 10 million people screened would get a false-positive result ( 16 ). While unselected screening appears to be ineffective in the general population, systematic opportunistic screening for patients with a high probability of atrial fibrillation could be a cost-effective use of resources ( 17 ). Manish et al. note that the relationship between atrial fibrillation and stroke is not well-enough understood to screen and treat for it. There is still little evidence whether patients with subclinical atrial fibrillation should receive anticoagulation ( 18 ). The U.S. Preventive Services Task Force stated that the current evidence is inadequate to determine the potential harm of unnecessary follow-up diagnostic and treatment caused by ECG screening ( 19 ). The principle of non-maleficence is violated regarding screening."
CLM-013,9,"The 2024 ESC/EACTS Guidelines on AF introduced the AF-CARE framework, a structured approach to AF management designed to enhance patient-centred care and outcomes. 4 , 5 AF-CARE builds on previous frameworks, 6 , 7 organizing care into four key pillars that integrate evidence-based management of AF with individualized patient needs ( Figure 1 ). The pillars include: [C] Comorbidity and risk factor management , highlighting and bringing to the forefront the need for thorough evaluation and management of comorbidities and risk factors related to AF; [A] Avoid stroke and thromboembolism , prioritizing stroke and thromboembolism prevention through appropriate anticoagulation; [R] Reduce symptoms by rate and rhythm control , aiming for symptom relief and in specific patient groups adjunctive prognostic benefit; and [E] Evaluation and dynamic reassessment, emphasizing the need for a thorough baseline evaluation of patients with AF, including an echocardiogram for all patients with AF where this might guide treatment decisions, followed by continuous modification of care as patients living with AF and its associated comorbidities and risk factors evolve over time."
CLM-014,9,"The 2024 ESC/EACTS Guidelines on AF introduced an important change in stroke risk assessment and oral anticoagulation initiation. An individualized approach to risk is advised, taking into account all potential thromboembolic risk factors. In the absence of locally validated risk scores, the CHA 2 DS 2 -VA score replaces the CHA 2 DS 2 -VASc score, with points assigned to the well-known stroke risk factors: congestive heart failure (one point), hypertension (one point), age ≥ 75 years (two points), diabetes mellitus (one point), prior stroke/transient ischaemic attack/arterial thromboembolism (two points), vascular disease (one point), and age 65–74 years (one point). Notably, the CHA 2 DS 2 -VA score omits consideration of gender, with the rationale that female sex does not contribute to decision making and is a risk modifier only in older patients that should already be receiving anticoagulation. 46–48 In previous guidelines, separate recommendations were given for women and men, adding unnecessary complexity in clinical practice. 6 The modification to CHA 2 DS 2 -VA seeks to simplify stroke risk assessment, with consistent thresholds regardless of gender. 49 … Oral anticoagulation using a DOAC, unless the patient has a mechanical valve or moderate–severe mitral stenosis, is advised for patients with AF with clearly elevated thromboembolic risk (CHA 2 DS 2 -VA score ≥2). Oral anticoagulation is advised to consider for patients with a CHA 2 DS 2 -VA score of 1. Physicians should explicitly discuss with their patients that decision making on anticoagulation treatment is dependent on the presence of stroke risk factors, or the presence of amyloidosis, hypertrophic cardiomyopathy, or mitral stenosis, and not on the type of AF or any rhythm control strategy employed. Despite maintenance of sinus rhythm or the absence of any AF-related symptoms, patients should continue oral anticoagulation based on the perceived risk of stroke and thromboembolism. 42 , 50–53 Indeed, evidence demonstrates that there is no temporal relationship between ischaemic stroke occurrence and AF episodes. 54–56"
CLM-015,9,"Atrial fibrillation significantly heightens the risk of thromboembolism, including ischaemic stroke, regardless of the temporal pattern of AF. 3 , 39 , 40 Without appropriate treatment, the risk of ischaemic stroke in patients with AF is elevated five-fold, and one in every five strokes is linked to AF. 41 Given this substantial risk, oral anticoagulation [preferably a direct oral anticoagulant (DOAC)] is advised for all eligible patients, except those at low risk of incident stroke or thromboembolism. The effectiveness of oral anticoagulation in preventing ischaemic stroke in patients with AF is well-documented. 42 , 43 Antiplatelet therapies alone are not indicated for stroke prevention in AF. 44 , 45"
CLM-016,9,"New guidance has also been provided for device-detected sub-clinical AF (asymptomatic episodes of AF detected on continuous monitoring devices). The ARTESiA trial (Apixaban for the Reduction of Thromboembolism in Patients With Device-Detected Sub-Clinical Atrial Fibrillation) demonstrated that apixaban reduced the risk of stroke or systemic embolism compared with aspirin, although it also increased major bleeding risk. 125 The NOAH trial (non-vitamin K antagonist oral anticoagulants in patients with atrial high rate episodes), which examined edoxaban compared with placebo, was terminated early due to futility and safety concerns, and found increased bleeding risk without associated efficacy. 126 With the currently available evidence, direct oral anticoagulants may be considered for patients with device-detected sub-clinical AF, high stroke risk, and low bleeding risk, acknowledging the high chance of progression to clinical AF (6–9% per year), but also the bleeding risk accompanying anticoagulation. Whether a threshold exists based on certain duration of AF (episodes or burden) is still unclear. 127"
CLM-017,9,"Population-based screening of AF through systematic programmes is now clearly distinguished from opportunistic detection during routine healthcare visits. Routine heart rhythm assessment during healthcare contact is recommended for all individuals aged ≥65 years to facilitate earlier detection of AF. 130 , 131 Population-based screening using a prolonged non-invasive ECG-based approach in patients with AF aged ≥75 years or ≥65 years with additional CHA 2 DS 2 -VA risk factors should be considered to ensure timely detection of AF. 132–135 The evidence on refinement of potential screening target populations, optimal screening durations, utility of new diagnostic and consumer wearable technologies, as well as the overall cost-effectiveness of routine and population-based screening is still too sparse to provide clear guidance. 95 , 136"
CLM-018,9,"Catheter ablation is a well-acknowledged invasive treatment for AF. 79 Evidence-based credentials have established catheter ablation as the treatment of choice in patients with paroxysmal or persistent AF who are intolerant or resistant to anti-arrhythmic drugs. 80–83 Based on accumulating evidence, the 2024 ESC/EACTS Guidelines on AF upgraded the role of catheter ablation as first-line rhythm control treatment option in anti-arrhythmic drug-naive patients with paroxysmal AF. This upgrade is supported by multiple randomized controlled trials, demonstrating that catheter ablation has superior efficacy and similar safety in comparison to anti-arrhythmic drugs regarding reduction of AF recurrences, alleviation of patient symptoms, improvement of quality of life, and delayed progression of AF. 84 , 85–93"
CLM-019,11,"Key updates in the 2023 ACC/AHA/ACCP/HRS guidelines include the recognition of AF as a progressive disease and an emphasis on the benefits of early rhythm control to prevent disease progression and reduce AF burden [ 5 ]. Catheter ablation (CA) is recognized as superior to AAD therapy as a rhythm control strategy in selected patients (ie, those who are younger and who have fewer comorbidities), and patients at earlier stages of heart failure with reduced ejection fraction (HFrEF). As such, the use of first-line CA for rhythm control has been upgraded from a class 2a to a class 1 recommendation for these patients. However, CA and AAD therapy are not mutually exclusive. They are used effectively in combination. The use of AAD therapy to maintain sinus rhythm (SR) or decrease AF burden has been downgraded from a class 1 to a class 2a recommendation, with the choice of AAD being dependent on underlying heart disease and other comorbidities. While CA has been upgraded to a class 1 recommendation for specific patients, AAD therapy may still be preferred over CA, such as when the patient prefers a noninvasive approach or when patient characteristics make CA unfavorable. Additionally, short-term (3–6 months) use of AAD therapy following ablation can reduce early recurrence of atrial arrhythmia and hospitalization, with the 2023 ACC/AHA/ACCP/HRS guidelines giving this approach a class 2a recommendation. In terms of updates to the use of specific antiarrhythmics, the use of sotalol has been downgraded to a class 2b recommendation due to its association with increased risk of mortality; there has not been a change in the recommendation status of other antiarrhythmics."
CLM-020,12,"When anticoagulation is indicated, direct oral anticoagulants (DOACs) are recommended over warfarin, except in patients with moderate-to-severe mitral stenosis, a mechanical heart valve, or specific thrombophilia (such as antiphospholipid syndrome), where warfarin remains the recommended treatment [ 4 , 84 ]. Furthermore, careful consideration should be given to switching from warfarin to DOAC in frail older patients with AF, as this approach has been associated with an elevated risk of bleeding complications without significant reduction in thromboembolic complications [ 85 ]. In patients with AF who have undergone percutaneous coronary intervention for acute coronary syndrome (ACS), dual antithrombotic therapy (OAC plus single antiplatelet therapy) lowered bleeding risks without compromising cardiovascular outcomes when compared to triple antithrombotic therapy (OAC plus dual antiplatelet therapy) [ 86 ]. The ESC guidelines recommend a short-term (one-week) triple therapy regimen in specific high-risk ACS subsets, such as ST elevation myocardial infarction, prior stent thrombosis, complex coronary procedures, and prolonged cardiac instability with an intermediate-to-low bleeding risk [ 80 , 87 ]. Furthermore, for ACS patients with diabetes who require anticoagulation, extending the triple antithrombotic therapy for 1–3 months may be considered when the risk of thrombosis is greater than the risk of bleeding [ 88 ]. The post-hoc analysis of the AFIRE trial with 2215 patients with AF and stable CAD over a median follow-up of 2 years found that rivaroxaban monotherapy is non-inferior to combination therapy with antiplatelet to prevent the composite endpoint of stroke, systemic embolization, MI, the need for revascularization, or death from any cause, while it is also associated with significantly less bleeding [ 89 , 90 ]. For AF patients unable to tolerate anticoagulants, left atrial appendage (LAA) occlusion (LAAO) has emerged as an alternative to oral anticoagulation for stroke prevention [ 4 ]. The PROTECT AF and PREVAIL trials demonstrated that the Watchman device is non-inferior to warfarin for the combined safety and efficacy composite endpoints (thromboembolism, cardiovascular death, clinically relevant bleeding, or procedure-/device-related complications) among patients with AF and CHADS 2 scores ≥1 and ≥2, respectively [ 91 , 92 ]. Similarly, the PRAGUE-17 trial investigated 402 high-risk patients with AF at high risk for stroke and bleeding (mean CHA 2 DS 2 -VASc 4.7 ± 1.5) and showed that percutaneous LAAO was comparable to DOAC in preventing major AF-related cardiovascular, neurological, and bleeding events over a duration of follow-up of up to 30 months [ 93 ]. The OPTION trial further demonstrated that LAAO in patients who underwent catheter ablation for AF was associated with a reduced risk of major or clinically relevant non-major bleeding at 36 months and was non-inferior in the composite outcome of death from any cause, stroke, or systemic embolism [ 94 ]. Based on this evidence, the 2023 guidelines have upgraded the recommendation for percutaneous LAAO to a Class 2A for AF patients with a CHA 2 DS 2 -VASc score of 2 or higher and a contraindication to long-term anticoagulation [ 4 ]."
CLM-021,12,"Rhythm control for AF can be achieved through cardioversion (electrical or pharmacologic) for the acute management and long-term maintenance of sinus rhythm with antiarrhythmic drugs or catheter ablation [ 114 ]. Given the elevated risk of cardiovascular complications during the first year after an AF diagnosis, known as “early atrial fibrillation”, early rhythm control within this period has emerged as a beneficial strategy. The 2023 guidelines recommend a trial of rhythm control as a Class 1 indication for patients with reduced left ventricular function and high AF burden and as a Class 2a indication for those with recent diagnosis or symptomatic AF [ 4 , 115 ]. The EAST-AFNET 4 trial, which randomized 2789 patients with early AF and cardiovascular conditions over 5 years of follow-up, revealed that early rhythm control therapy reduced the composite outcome of cardiovascular death, stroke, or hospitalization for HF or acute coronary syndrome compared with rate control strategies (hazard ratio of 0.79) [ 116 ]. Subsequent subgroup analyses revealed that the benefit of early rhythm control was particularly pronounced in patients with a higher comorbidity burden (CHA 2 DS 2 -VASc score ≥ 4), with the composite outcome occurring in 23% of the early rhythm control group versus 34% in the usual care group (hazard ratio of 0.64) [ 117 ]. Similarly, several studies collectively confirmed the time-dependent effect of rhythm control initiation for AF management, with earlier intervention leading to better cardiovascular outcomes [ 118 , 119 , 120 ]."
CLM-022,13,"- With the updated evidence on the application of wearable device technology, the use of smart devices, with PPG or single/multiple-lead ECG, for AF screening is recommended in the elderly population, or in high-risk populations, e.g., those with OSA, hypertension, diabetes, post-stroke, etc. ( Fig. 2 )."
CLM-023,13,"In our 2016 consensus document, we recommended the use of the CHA 2 DS 2 -VASc score for stroke risk assessment for the elderly AF patients. In this 2024 update, we still recommend the use of the CHA 2 DS 2 -VASc score as the most validated stroke risk prediction scheme. The assessment of dynamic changes on stroke risk with re-evaluation of the CHA 2 DS 2 -VASc score is recommended at least annually. 42 For the patients with a CHA 2 DS 2 -VASc score of low or intermediate risk at baseline, more frequent stroke risk evaluation, 43 e.g., every 4 months, is proposed."
CLM-024,13,"A holistic or integrated care approach, with the well-validated ABC pathway is recommended for the elderly population with AF to improve clinical outcomes ( Fig. 3 ). … - NOACs are preferred for the elderly patients with AF than warfarin, except those with mechanical valve or severe mitral stenosis. If on warfarin, INR should remain between 2.0 and 3.0 or 1.6 and 2.5 for those aged over 75 years. Good quality anticoagulation control (TTR ≥ 65%) should be aimed for."
CLM-025,13,"Two randomized trials, the NOAH-AFNET 6 and ARTESiA trials, provide high-quality evidence on the anticoagulation for patients with device-detected AF. 28 31 Among patients with subclinical AF, with at least one episode lasting 6 minutes or longer but no episodes lasting longer than 24 hours, detected by implanted cardiac device, apixaban resulted in a lower risk of stroke or systemic embolism than aspirin but this was with a higher risk of major bleeding. 31 For the patients with AHRE also detected with implanted cardiac device in the NOAH-AF trial, anticoagulation with edoxaban did not significantly reduce the incidence of a composite of cardiovascular death, stroke, or systemic embolism as compared with placebo in NOAH-AFNET 6. 28 29 Meta-analysis of NOAH-AFNET 6 and ARTESiA trials demonstrated that oral anticoagulation reduced the risk of stroke in patients with device-detected AF and increased the risk of major bleeding. 32 Taking into account these results, dynamic monitoring of AHRE/AF progression and CHA 2 DS 2 -VASc, considering the benefits and related risks of oral anticoagulants, and individualized decision making of stroke prevention approach, is proposed for patients with CIED and AHRE."
CLM-026,13,"AF prevalence increases with increasing age, being 0.72% in the population aged 55 to 59 years, 6.52% in aged 80 to 84 years, and 8.18% in aged over 95 years. 4 The increasing aging population and chronic diseases increases the risk of AF and AF-related stroke in the elderly population in China. The lifetime risk of AF of the population aged over 75 years is doubled compared to those aged 50 years. 5 Thus it is estimated that there are currently 20 million adult AF patients in China. 6 7 In the 2018 Blue Book on the Prevention and Treatment of Atrial Fibrillation in China, the elderly population with AF was modelled to exceed 9 million by the year 2050. 4"
CLM-027,14,"Only few consumer-grade systems have received FDA clearance or CE mark as personal ECG monitors and irregular rhythm detectors (both from ECG or PPG), but with specific operational constraints and their ability to reliably identify atrial fibrillation (AF) is under evaluation. 18 , 19"
CLM-028,14,"- accuracy differs among devices, 14 , 15 … - accuracy decreases significantly with increasing activity level, and 15 , 16"
CLM-029,15,The 41 studies consisted of 6276 patients with coronary heart disease. The mean age in the treatment group was 57.57 ± 8.15 years and 54.10% of the patients were male. The mean age in the control group was 57.80 ± 8.72 years and 45.96% of the patients were male. The baseline characteristics were balanced between the treatment and control groups. The majority of the included studies received low Jadad scores due to the lack of a double-blind design ( Table 2 ).
CLM-030,15,"Figure 2 presents the results of the meta-analysis of ECG improvement following administration of suxiao jiuxin pills. ECG results were reported in 35 studies. Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%). Findings from the meta-regression analyses suggested that sample size and mean age of the patients were not significant factors contributing to the association between suxiao jiuxin pills and ECG outcomes ( Table 3 ). Considering that the control group may be the source of the heterogeneity, we performed subgroup analyses to compare the effects of suxiao jiuxin pill with those of control treatment ( Figure 3 ). The subgroup analyses indicated that suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001), and other drugs (RR 1.32, 95% CI 1.21 to 1.44, P < 0.001). The I 2 decreased to 39.1% in the nitroglycerin subgroup. However, moderate heterogeneity was still observed among the other three subgroups ( I 2 = 50.0%, 44.9%, and 43.6%, resp.). Sensitivity analysis was conducted by excluding individual studies one after another but did not reveal a substantial change in the overall trend of heterogeneity between studies. We also constructed a funnel plot to assess the degree of publication bias. The funnel plot was symmetrically distributed around the pooled effect size, which indicated the absence of significant publication bias in the included studies ( Figure 4 ). In addition, examining the funnel plot asymmetry via Egger test ( P = 0.067) and Begg test ( P = 0.050) did not demonstrate publication bias."
CLM-031,15,The 41 studies consisted of 6276 patients with coronary heart disease. The mean age in the treatment group was 57.57 ± 8.15 years and 54.10% of the patients were male. The mean age in the control group was 57.80 ± 8.72 years and 45.96% of the patients were male. The baseline characteristics were balanced between the treatment and control groups. The majority of the included studies received low Jadad scores due to the lack of a double-blind design ( Table 2 ).
